usuario,comentario,pais,sentimiento,longitud,cluster_dbscan,sentimiento_valor
martinsantosr,las bellezas y delicias de cartagena contrastan con la pobreza e indigencia de la ciudad ningún turismo con falta de oportunidades es sostenible,colombia,neu,144,1,0
felipecespedes,yo creo que ya hay que dejar de sorprendernos porque en cartagena roben a los turistas si ya de entrada uno sabe que lo están estafando cuando compra un pasaje por ir a ver un mar sucio y un centro histórico lleno de putas,colombia,neg,222,1,-1
danielbricen,cartagena está sobrevalorada su nivel de servicios de turismo es realmente precario las denuncias por estafas a viajeros extranjeros y nacionales son el pan de cada día la inseguridad es realmente terrible y lo peor pareciera que ninguna autoridad le importara total desorden,colombia,neg,275,1,-1
andr51522131,cartagena  ciudad sobrevalorada fea gente grosera y maleducada por todo lado hay ladrones al asecho todo caro prostitución descarada en la ciudad amurallada si no das propina te dan un mal servicio la alcaldiactg ni se siente,colombia,neg,225,1,-1
apolonias01,cartagena es un cagadero peligroso y sobrevaloradocon 10 cuadras bien pintadas para la foto y el resto es un morideroplayas bonitas bahía solanola ensenada de utriael morrola barraplaya juan de diosjuanchacocoquinuquigorgonatodas ellas en el pacífico colombiano,colombia,neg,261,1,-1
decameronguest,excelente relación calidadprecio por sus dólares estadounidenses,usa,pos,64,-1,1
adam,una excelente opción para una estancia rápida de una noche,usa,pos,58,1,1
ellen,una visita obligada cuando se visita cartagena,inglaterra,pos,46,1,1
lauro,excelente,canada,pos,9,1,1
riahi,maravilloso,usa,pos,11,1,1
wholeone2500,me encantó y volvería a ir pero calor intenso y vendedores,colombia,pos,58,-1,1
illustriousyou1330,es linda tiene una vida nocturna bastante modesta,colombia,neu,49,1,0
professionalguess43,hermosa con la mojarra más cara de la costa,colombia,pos,43,1,1
seasiatraveler1,participó en foro de tripadvisor con consejos sobre recorridos y tours,colombia,neu,70,1,0
tripadvisoruser1,cartagena is pretty hot but walking the streets is worth it,colombia,neu,59,1,0
tripadvisoruser2,la mayor parte de cartagena no es segura fuera de las zonas turísticas,colombia,neg,70,1,-1
akers,hermosa ciudad mucha historia y comida deliciosa,colombia,pos,48,1,1
armando,demasiado calor pero valió la pena por el casco antiguo,colombia,pos,55,-1,1
yuliia,cuidado con vendedores ambulantes pero la gente es muy amable,colombia,neu,61,1,0
pablo,playas bonitas agua un poco turbia en temporada alta,colombia,neu,52,1,0
neal,la vida nocturna es muy entretenida y segura en zonas turísticas,colombia,neu,64,1,0
brendan,el servicio en mi hotel fue excelente volvería,colombia,pos,46,1,1
jo,transporte público un poco caótico recomendaría taxi o apps,colombia,neu,59,-1,0
patrick,los tours a las islas fueron lo mejor del viaje,colombia,pos,47,1,1
emma,ciudad preciosa mucha seguridad en el centro histórico,colombia,pos,54,1,1
orbezo,buena relación calidadprecio en restaurantes locales,colombia,pos,52,-1,1
angelica,mucha fila para entradas en temporada mejor comprar por internet,colombia,pos,64,-1,1
ana,me encantó caminar por getsemaní arte urbano espectacular,colombia,pos,57,1,1
vladimir,gastronomía excelente probar la comida del mar es un must,colombia,pos,57,0,1
guillermo,pagos con tarjeta funcionan bien en la mayoría de lugares,colombia,pos,57,-1,1
rachel,algunas zonas fuera del centro requieren precaución por la noche,colombia,neu,64,1,0
shelia,precios turísticos elevados en el casco antiguo,colombia,neu,47,1,0
joanne,atención al cliente en hoteles muy amable y servicial,colombia,pos,53,1,1
jaime,excursión en barco a las islas fue puntual y profesional,colombia,neu,56,1,0
iveta,el museo histórico muy interesante y bien conservado,colombia,pos,52,-1,1
frederick,las calles empedradas hacen la experiencia muy pintoresca,colombia,pos,57,1,1
alberto,recomiendo visitar al amanecer para evitar calor y multitudes,colombia,neu,61,-1,0
carla,el transporte desde el aeropuerto fue rápido y cómodo,colombia,neu,53,-1,0
friska,tiendas de souvenirs con variedad pero negociar precio,colombia,pos,54,1,1
de,excelente oferta cultural y eventos en la ciudad,colombia,pos,48,1,1
berson,algunos restaurantes cierran temprano verificar horarios,colombia,neu,56,-1,0
yorguin,buena oferta de alojamiento para distintos presupuestos,colombia,pos,55,-1,1
marguest,atención médica accesible en zonas céntricas,colombia,neu,44,-1,0
franco,una de los mejores destinos es para conocer todo en un día tiene mucha cultura propia del país adicionalmente tiene panoramas para todos los gustos mi recomendación gastronómica es restaurante san valentín buenos precios y excelente atención y si están buscando bar alquimia es el lugar lleven pesos colombianos podrán darle propina a todo el mundo ojo con los vendedores ambulantes son hostigosos,chile,neu,397,1,0
gabriel g,l lugar es muy pintoresco con edificios muy lindos tiene restaurantes y bares muy buenos todo es de buena calidad y a precios no muy altos antros y bares muy variados y divertidos el problema es que mucha gente de incómoda pidiendo dinero o con servicios,mexico,neu,254,1,0
danilo,bella y orgullosa de su historia cartagena no tiene desperdicio su excelente arquitectura sus calles encantadoras su gastronomía su gente en fin un disfrute para la mente y los sentidos ya sea para ir en plan intelectual buscando historia y cultura o en plan diversión,uruguay,pos,268,1,1
marudelgadoniglia,visita imperdible si se viaja a cartagena la ciudad es hermosa y con mucha historia muy lindo recorrer sus calles y lugares para visitar tanto de dia como de noche ya que ambas opciones tienen su encanto lugares hermosos para visitar comer o tomar algo,argentina,pos,252,1,1
manuel b,preciosa ciudad para recorrerla a pie es para mí la ciudad que mejor guarda la herencia española muy bien conservada y muy bien mantenida bastantes tiendas y restaurantes y muchos turistas importantes las iglesias,españa,pos,213,1,1
gasparcito,la ciudad es muy bonita está muy bien conservada y es muy segura para caminar tanto de día como de noche dicho esto es insoportable caminar por el casco histórico el acoso de vendedores de toda clase de productos es permanente sumado a esto el tráfico es espantoso muchísimo ruido y masificación hacen que salir a dar una vuelta sea una auténtica pesadilla pero lo peor de todo es que intentan estafarte en cada tienda incluso en el hotel haciendo la visita muy desgastante y desagradable no volvería en la vida a cartagena ni lo recomiendo,españa,neg,540,1,-1
cris,robos gente que intenta estafarte no te dejan ni caminar te piden dinero te cantan te rodean para robarte el móvil o la cartera te persiguen como pretende esta gente vivir del turismo no volvería jamás,españa,neg,201,1,-1
isabelle d,esta bien no más de 3 días luego se va la verdadera cara de la ciudad hoy en dia un escaparate para turistas mientras tanto la ciudad donde viven los cartagenos mucho más grande y fea se extiende al exterior de las murallas sobre muchos kilómetros con su triste realidad de pobreza y de tercer mundo por lo tanto no hay que sorprender se por estar acosado por los vendedores a lo largo del día ni por la prostitución que envade el centro por la noche después de 4 días me sentí muy mal en este sitio donde ya no queda ninguna auténtica poesía solo negocios,india,neg,556,1,-1
elizabeth a,el lugar es bellísimo pero está lleno de vendedores ambulantes que además te estafan debería haber más vigilancia y acciones por parte del gobierno colombiano,mexico,neg,158,1,-1
carlos s,ojo es lo peor que hay en cartagena mucha gente acusadora pidiendo acosando muy peligrosa esa gente y los que comienzan a cantar y a rapear noooo terrible cantando mal y acosando y persiguiendo horrible lo peor de cartagena,colombia,neg,223,-1,-1
bocha364,cuanta contradicción una cuidad tan bella y con tanto valor histórico arruinada por un trafico histerico tocando bocina permanentemente desordenado mucha suciedad en las calles los vendedores ambulantes son tantos que resultan molestos una lástima,usa,neg,247,1,-1
luciana a,en toda la ciudad amurallada hay una cantidad de caballos usados para tracción a sangre es una tristeza ver la cara de los animales explotados cargando con mínimo 4 personas encima de ellos,argentina,neg,189,2,-1
donnaln,me cuesta entender qué es lo que la gente encuentra tan increíble en la ciudad amurallada está bien sin más los vendedores ambulantes son tan pesados que es difícil concentrarse en disfrutar de las vistas no hay nada realmente bonito o interesante que ver no es en absoluto lo que esperaba pero la gente es tan increíblemente amable y la comida tan buena que no todo fue una decepción y la puesta de sol desde el café del mar fue preciosa,usa,pos,438,1,1
sarah,no podía ir a ningún lado sin que nos siguieran personas que vendían tours y nos acosaban me sentí inseguro por la noche esto no es representativo del hermoso país es una trampa para turistas cuidado con tus bolsillos,usa,neg,217,1,-1
andrea b,lo bueno entrando por el centro histórico es hermosa la arquitectura de todas esas casas los portones la vegetación de los balcones tienen calles muy pintorescas coloridas con muchísimos restaurantes desde barato a caro varias opciones de comidacuentan también con un sin fin de tiendas de diseñadores la moda colombiana es divina hay de todos los preciosen cada esquina encuentras vendedores de frutas no sé porque pero el mango de colombia es de otro mundo totalmente diferente al de mi país me encanta,ecuador,pos,504,1,1
ronnie m,una experiencia histórica increíble pero los vendedores ambulantes son demasiado agresivos restaurantes y tiendas increíbles,usa,pos,124,1,1
mickmoores,la historia y la cultura pasada de esta ciudad son increíbles por desgracia todo se ve estropeado por la situación actual de pobreza y por los vendedores ambulantes que nunca te dejan en pazademás es el lugar más caro de colombia por lo que te recomendaría bogotá o medellín para tus futuros viajes por colombia,usa,neu,311,1,0
ron s,la ciudad amurallada es bastante pequeña pero contiene algunos detalles interesantes que nuestro guía turístico nos señaló no había mucho que hacer en la zona pero nos advirtieron de la presencia de gitanos y había muchos eran educados y respetuosos pero eran muchos nuestro guía nos dio unos 45 minutos de tiempo libre lo que para nuestra familia fueron unos 40 minutos de más en general la excursión estuvo bien y fue agradable conocer la ciudad amurallada,canada,pos,458,-1,1
alfredo,tiene un potencial enorme lamentablemente se siente un poco insegura y está falta de limpieza ya es una realidad turística super atractiva pudiera ser mucho mejor,colombia,neg,162,1,-1
usia,esta fue la última parada de una excursión de un día completo por varios lugares de cartagena fue agradable comparar la nueva ciudad moderna con sus rascacielos con la antigua ciudad amurallada con sus edificios históricos y su interesante arquitectura nuestro guía fue muy minucioso y nos señaló los lugares emblemáticos las coloridas calles y los diversos restaurantes mientras caminábamos por las calles empedradas también subimos al fuerte y vimos el cañón original las vistas eran increíbles,canada,pos,496,1,1
marithebt,la ciudad es bonita pero te roban por todo lado los taxis los restaurantes las lanchas no creo que lo recomiende,colombia,neu,112,1,0
lanchitinez,la ciudad es hermosa e imperdiblevisitar el museo marítimo la catedral y la inquisición también hay un show de danzas típicas y africanas insoportables los vendedores ambulantes que te persiguen todo el tiempo solo decirles  ni gracias y seguir caminandono enojarse,argentina,neu,265,-1,0
liketoeatcincinnati,bonito lugar histórico para visitar que es el primer asentamiento de españa en el nuevo mundo hay muchas estructuras que datan de 1500 esté atento a los vendedores ambulantes agresivos también los raperos pueden ser bastante intimidantes si no los ignoras tendrás que pagar,usa,neu,273,1,0
efromflint73,gran historia delante y detrás de la pared un dato curioso es que el puerto real llegaba hasta la muralla y había un puente levadizo que bajaba en la entrada principal de la ciudad amurallada de cartegena ten cuidado con los vendedores ambulantes no te quedes mirando demasiado tiempo o se te acercarán,usa,neu,302,1,0
laila s,me encantó la explosión de sonidos colores y ambiente vibrante hubo momentos en que sentí que se estaba convirtiendo en una trampa turística con tantos jóvenes siguiéndonos tratando de mostrar sus habilidades de rap a cambio de algunos consejos o con las damas vestidas con atuendos tradicionales y siguiéndonos para forzar una foto con ellas supongo que es comparable a los bazares de egipto y la plaza principal de marakesh y si puedes encontrar la paciencia para pedirles que se detengan amablemente entonces es absolutamente una visita obligada las estrechas calles empedradas artes y artesanías que se venden en cada esquina los increíblemente deliciosos carritos de frutas tenían un montón de sus productos y todos los vendedores de comida ambulante es bastante la experiencia y vale la pena una estancia de dos a tres días,kenia,pos,829,-1,1
mercatourscom,en cartagena siempre hay algo que hacer desde sus playas bonitas hasta sus calles antiguas llenas de sabor y diversión,colombia,pos,118,1,1
mrs mtqwerty,excelente un clásico para recorrer a pie en toda su extensión es muy seguro y divertido recomiendo salir a tomar un trago por la noche en alguna de sus plazas vale la pena,argentina,pos,171,1,1
osbal r,cartagena brilla al caer el sol ciudad colonialla calidad de la gente son muy amables uno de sus atractivos son sus islas de aguas cristalinas y gran gastronomía,colombia,pos,161,1,1
camilo diaz,la ciudad amurallada de cartagena es hermosa cartagena hace bastante calor pero caminar por las calles merece la pena mucha gente vende cosas pero solo di no gracias y sigue caminando puedes explorar la historia y los principales lugares de interés con un tour a pie hicimos uno con nexperience que fue excelente,colombia,pos,312,1,1
joemarie h,es una ciudad vieja tan hermosa con tanta historia y color me encantó caminar por los barrios y ver la hermosa arquitectura muchos restaurantes y bares para disfrutar pero diré que esté preparado para ver cosas tarde en la noche que no son tan amigables para la familia la edad legal es de 14 años y verás mucha prostitución por la noche a plena vista esto fue muy triste de ver y un poco desalentador diré que no me di cuenta de esto durante el día y se sentía más familiar,usa,neg,474,1,-1
gabriel g,el lugar es muy pintoresco con edificios muy lindos tiene restaurantes y bares muy buenos todo es de buena calidad y a precios no muy altos antros y bares muy variados y divertidos el problema es que mucha gente de incómoda pidiendo dinero o con servicios,mexico,neg,255,1,-1
kevinrq9,las calles de casco historico de cartagena son muy coloridas y son muy fotogénicas aparentemente tiene calles muy seguras pero siempre caminen con cuidado y deben tener cuidado con el comercio informal porque son muy insistentes,peru,neu,228,1,0
aschwar,todo el mundo tiene razón hace mucho calor llegamos a las 9  el día estaba un poco nublado lo que ayudó pero definitivamente estábamos sudando después de entrar hay guías de habla inglés disponibles para 45 k policía  persona definitivamente vale la pena conseguir un guía,usa,pos,272,-1,1
criscrismr,el paraíso y no admito discusión noviembre en cartagena,colombia,neu,55,-1,0
mariajruizg1,quieor estar en cartagena tomando cócteles y vestida lindo,colombia,neu,58,1,0
davidcornejo10,hoy en mi ciudad favorita cartagena,colombia,neu,35,1,0
ivancamargof,carajo esas fiestas de cartagena se están viendo como buenas,colombia,pos,60,-1,1
maria maria,acabamos de estar allí estaba muy paranoica por todo lo que había leído en los grupos en los que estoy una vez allí todo fue bien no me sentí insegura en absoluto cartagena era preciosa no me gustó el olor jajajaja pero estuvo bien es muy colorida y vibrante,usa,pos,258,-1,1
joy warnok,no viajé solo pero pasé un mes en cartagena y me encantó ten cuidado con los carteristas los robos de teléfonos etc que lo pases muy bien cartagena es maravillosa,usa,pos,162,-1,1
